machine_id,site_session_id,domain_id.x,ref_domain_name,pages_viewed,duration,event_date.x,event_time.x,tran_flg,domain_name.x,prod_category_id,prod_name,domain_id.y,prod_qty,prod_totprice,basket_tot,event_date.y,event_time.y,domain_name.y
92117262,53499008069,6.75873E+18,NA,54,34,20140316,20:46:26,1,amway.com,16,Nutrilite Twist Tubes - Strawberry Kiwi flavor for Immunity,6.76E+18,1,21.6,537.65,20140316,21:14:29,amway.com
92117262,53499008069,6.75873E+18,NA,54,34,20140316,20:46:26,1,amway.com,16,Legacy of Clean Prewash Liquid,6.76E+18,1,5.55,537.65,20140316,21:14:29,amway.com
92117262,53499008069,6.75873E+18,NA,54,34,20140316,20:46:26,1,amway.com,16,Artistry Essentials hydrating lotion,6.76E+18,1,21.55,537.65,20140316,21:14:29,amway.com
92117262,53499008069,6.75873E+18,NA,54,34,20140316,20:46:26,1,amway.com,16,Nutrilite Cal Mag D Advanced,6.76E+18,1,27.6,537.65,20140316,21:14:29,amway.com
92117262,53499008069,6.75873E+18,NA,54,34,20140316,20:46:26,1,amway.com,16,Artistry Essentials Hydrating System - Mini Travel Set,6.76E+18,2,38.5,537.65,20140316,21:14:29,amway.com
92117262,53499008069,6.75873E+18,NA,54,34,20140316,20:46:26,1,amway.com,16,Glister Multi-action Fluoride Toothpaste,6.76E+18,1,5.2,537.65,20140316,21:14:29,amway.com
92117262,53499008069,6.75873E+18,NA,54,34,20140316,20:46:26,1,amway.com,16,Body Series Nature Shower Hand and Body Lotion,6.76E+18,1,5.5,537.65,20140316,21:14:29,amway.com
92117262,53499008069,6.75873E+18,NA,54,34,20140316,20:46:26,1,amway.com,16,Nutrilite Twist Tubes  Raspberry flavor for Joint Health,6.76E+18,1,21.6,537.65,20140316,21:14:29,amway.com
92117262,54810776663,6.75873E+18,NA,31,28,20140403,16:08:39,1,amway.com,16,Satinique Dandruff Control Hair Cleanser/Shampoo,6.76E+18,1,4.6,42.9,20140403,16:34:14,amway.com
92117262,54810776663,6.75873E+18,NA,31,28,20140403,16:08:39,1,amway.com,16,Satinique Smooth Moisture Shampoo,6.76E+18,1,17.5,42.9,20140403,16:34:14,amway.com
92117262,54810776663,6.75873E+18,NA,31,28,20140403,16:08:39,1,amway.com,16,Glister Multi-action Fluoride Toothpaste,6.76E+18,4,20.8,42.9,20140403,16:34:14,amway.com
92117262,61363328049,6.75873E+18,NA,25,11,20140224,18:23:21,1,amway.com,16,Body Blends Body Butter - Paradise,6.76E+18,1,16.5,168.1,20140224,18:29:17,amway.com
92117262,61363328049,6.75873E+18,NA,25,11,20140224,18:23:21,1,amway.com,16,Deposit Sku - (.05),6.76E+18,36,1.8,168.1,20140224,18:29:17,amway.com
92117262,61363328049,6.75873E+18,NA,25,11,20140224,18:23:21,1,amway.com,16,Nutrilite Protein Bar  Chocolate Delight flavor,6.76E+18,1,27.6,168.1,20140224,18:29:17,amway.com
92117262,61363328049,6.75873E+18,NA,25,11,20140224,18:23:21,1,amway.com,16,Legacy of Clean Soft Cleanser,6.76E+18,2,11.8,168.1,20140224,18:29:17,amway.com
92117262,61363328049,6.75873E+18,NA,25,11,20140224,18:23:21,1,amway.com,16,Nutrilite Protein Bar  Chocolate Delight flavor,6.76E+18,1,NA,168.1,20140224,18:29:17,amway.com
92117262,61363328049,6.75873E+18,NA,25,11,20140224,18:23:21,1,amway.com,16,Deposit Sku - (.05),6.76E+18,36,NA,168.1,20140224,18:29:17,amway.com
92117262,61363328049,6.75873E+18,NA,25,11,20140224,18:23:21,1,amway.com,16,Body Blends Body Butter - Paradise,6.76E+18,1,NA,168.1,20140224,18:29:17,amway.com
92117262,61363328049,6.75873E+18,NA,25,11,20140224,18:23:21,1,amway.com,16,Nutrilite Protein Bars  Cinnamon Bun Flavor,6.76E+18,1,27.6,168.1,20140224,18:29:17,amway.com
92117262,61363328049,6.75873E+18,NA,25,11,20140224,18:23:21,1,amway.com,16,Nutrilite Protein Bars  Cinnamon Bun Flavor,6.76E+18,1,NA,168.1,20140224,18:29:17,amway.com
92117262,61363328049,6.75873E+18,NA,25,11,20140224,18:23:21,1,amway.com,16,XS Sparkling Juiced Energy,6.76E+18,3,82.8,168.1,20140224,18:29:17,amway.com
92117262,61363328049,6.75873E+18,NA,25,11,20140224,18:23:21,1,amway.com,16,Legacy of Clean Soft Cleanser,6.76E+18,2,NA,168.1,20140224,18:29:17,amway.com
92117262,61363328049,6.75873E+18,NA,25,11,20140224,18:23:21,1,amway.com,16,XS Sparkling Juiced Energy,6.76E+18,3,NA,168.1,20140224,18:29:17,amway.com
92117262,61364114481,6.75873E+18,NA,42,23,20140224,17:25:29,1,amway.com,16,Legacy of Clean SA8 Laundry Detergent,6.76E+18,1,43.75,43.75,20140224,17:40:06,amway.com
92117262,61364114481,6.75873E+18,NA,42,23,20140224,17:25:29,1,amway.com,16,Legacy of Clean SA8 Laundry Detergent,6.76E+18,1,NA,43.75,20140224,17:40:06,amway.com
92117262,61765981221,6.75873E+18,NA,24,15,20140212,21:42:29,1,amway.com,16,Legacy of Clean SA8 Laundry Detergent,6.76E+18,1,43.75,43.75,20140212,21:47:07,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,LEGACY OF CLEAN?DISH DROPS Concentrated Dish Liquid,6.76E+18,2,19.6,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,NUTRILITE Twist Tubes - Strawberry Kiwi flavor for Immunity,6.76E+18,1,21.6,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,NUTRILITE Invisifiber Powder,6.76E+18,2,74.5,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,GLISTER Multi-action Fluoride Toothpaste,6.76E+18,2,10.4,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,NUTRILITE Concentrated Fruits and Vegetables - Tablets - 60 Count,6.76E+18,1,45.15,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,XS Sparkling Juiced Energy,6.76E+18,7,193.2,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,XS Energy Drink Tropical Blast,6.76E+18,1,27.6,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,XS ENERGY SHOT Wild Berry flavor,6.76E+18,2,69.6,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,Deposit Sku - (.05),6.76E+18,108,5.4,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,LEGACY OF CLEAN?SA8 Triple Liquid 3X Concentrated Laundry Detergent - Light Scent,6.76E+18,1,31.05,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,LEGACY OF CLEAN?Prewash Spray,6.76E+18,2,19.7,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,LEGACY OF CLEAN?L.O.C. Multi-Purpose Cleaner,6.76E+18,1,7.05,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,ARTISTRY Balancing Foundation - Pearl,6.76E+18,1,27.25,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,XS Energy Gum  Arctic Blast Flavor,6.76E+18,1,18.5,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,ARTISTRY Automatic LipLiner Pencil Holder,6.76E+18,1,14.55,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,NUTRILITE Cal Mag D Advanced,6.76E+18,1,27.6,968.2,20140117,0:01:51,amway.com
92117262,62703408139,6.75873E+18,NA,9,3,20140117,0:00:09,1,amway.com,16,LEGACY OF CLEAN?SA8 Laundry Detergent,6.76E+18,2,87.5,968.2,20140117,0:01:51,amway.com
